2010,P0000,P01001,4450,911200,Transferencias corrientes del Gobierno de Navarra,12480701
2010,P0000,P01001,7450,911200,Transferencias de capital del Gobierno de Navarra,1011380
2010,P1000,P01002,4451,911300,Transferencias corrientes del Gobierno de Navarra,2876488
2010,P1000,P01002,7451,911300,Transferencias de capital del Gobierno de Navarra,43000
2010,P2000,P01003,4452,911200,Transferencias corrientes del Gobierno de Navarra,1119992
2010,P2000,P01003,7452,911200,Transferencias de capital del Gobierno de Navarra,119778
2010,00000,010000,1000,912100,Retribuciones de altos cargos,81594
2010,00000,010000,1100,912100,Retribuciones del personal eventual,233404
2010,00000,010000,2202,912100,"Prensa, revistas, libros y otras publicaciones",8600
2010,00000,010000,2261,912100,Gastos diversos del Sr. Presidente,12000
2010,00000,010000,2301,912100,Gastos de viaje del Sr. Presidente y Gabinete,23000
2010,00001,010001,1000,912100,Retribuciones de altos cargos,75933
2010,00001,010001,1100,912100,Retribuciones del personal eventual,160483
2010,00001,010001,2200,912100,Material de oficina,1700
2010,00001,010001,2202,912100,"Prensa, revistas, libros y otras publicaciones",1500
2010,00001,010001,2261,912100,Gastos diversos del Sr. Consejero y Gabinete,6000
2010,00001,010001,2301,912100,Gastos de viaje del Sr. Consejero y Gabinete,6000
2010,00100,010001,1230,921100,Retribuciones totales fijas de funcionarios,1020327
2010,00100,010001,1600,921100,Seguridad social,537761
2010,00100,010001,2120,921100,"Reparación, mantenimiento y conservación de edificios",90000
2010,00100,010001,2200,921100,Material de oficina,2000
2010,00100,010001,2202,921100,"Prensa, revistas, libros y otras publicaciones",900
2010,00100,010001,2266,921100,"Reuniones, conferencias y cursillos",900
2010,00100,010001,2269,921100,Otros gastos diversos,900
2010,00100,010001,2271,921102,Limpieza de locales de Palacio de Navarra,350000
2010,00100,010001,2271,921103,Servicios de limpieza y aseo,4000
2010,00100,010001,2273,921100,Servicios informáticos,8062
2010,00100,010001,2276,921100,Estudios y trabajos técnicos,250000
2010,00100,010001,2284,921100,Material de limpieza y aseo,6000
2010,00100,010001,2285,921100,Vestuario del personal,1000
2010,00100,010001,2300,921100,Dietas,300
2010,00100,010001,2301,921100,Locomoción y gastos de viaje,500
2010,00100,010001,4809,921100,Indemnizaciones por responsabilidad patrimonial,100
2010,00100,010001,6020,921100,Obras en edificios institucionales,300000
2010,00100,010001,6031,921100,Instalaciones,100
2010,00100,010001,6050,921100,Mobiliario y equipo de oficina,1800
2010,00100,010001,6059,921100,Mobiliario y equipos para el Palacio de Navarra,900
2010,00100,010001,6060,921100,Equipos para procesos de información,1800
2010,00100,010001,6091,921100,Proyectos de obras de remodelación de edificios institucionales,100
2010,00100,010001,7400,921100,Transferencias de capital a NASERSA,50000
2010,01000,010001,1000,921100,Retribuciones de altos cargos,67578
2010,01000,010001,1230,921100,Retribuciones totales fijas de funcionarios,30382
2010,01000,010001,2160,921100,Reparación y mantenimiento de equipos y programas,4500
2010,01000,010001,2200,921100,Material de oficina,1000
2010,01000,010001,2202,921100,"Prensa, revistas, libros y otras publicaciones",1000
2010,01000,010001,2261,921100,Atenciones protocolarias,1800
2010,01000,010001,2262,921100,Publicidad y actividades divulgativas,20000
2010,01000,010001,2273,921100,Servicios informáticos,35457
2010,01000,010001,2276,921100,Asistencia técnica 2º nivel,13467
2010,01000,010001,2279,921100,Otros trabajos realizados por terceros,150000
2010,01000,010001,2300,921100,Dietas,300
2010,01000,010001,2301,921100,Locomoción y gastos de viaje,1700
2010,01000,010001,4809,921100,(**) Aplicación Ley Memoria Histórica,100000
2010,01000,010001,6020,921100,Otras obras e instalaciones,100
2010,01000,010001,6050,921100,Mobiliario y equipo de oficina,5000
2010,01000,010001,6060,921100,Equipos para procesos de información,11000
2010,01000,010001,6090,469100,Sistemas de información,60000
2010,01300,010002,1230,912300,Retribuciones totales fijas de funcionarios,499732
2010,01300,010002,2190,912300,Reparación y mantenimiento de otros bienes muebles,2000
2010,01300,010002,2200,912300,Material de oficina,6000
2010,01300,010002,2202,912300,"Prensa, revistas, libros y otras publicaciones",1000
2010,01300,010002,2221,912300,Comunicaciones postales y mensajería,800000
2010,01300,010002,2230,912300,Gastos de transportes,1400
2010,01300,010002,2269,912300,Registro y defensa de patentes y marcas,4500
2010,01300,010002,2285,912300,Vestuario,1000
2010,01300,010002,2300,912300,Dietas,300
2010,01300,010002,2301,912300,Locomoción y gastos de viaje,500
2010,01300,010002,2400,912300,Encuadernaciones y microfilmaciones de actas y otros,900
2010,01300,010002,6050,912300,Mobiliario y equipo de oficina,900
2010,01500,010003,1230,921600,Retribuciones totales fijas de funcionarios,1364688
2010,01500,010003,2020,921600,Arrendamientos de edificios y otras construcciones,54775
2010,01500,010003,2200,921600,Material de oficina,6000
2010,01500,010003,2230,921600,Traslado de documentos,3600
2010,01500,010003,2264,921600,Gastos de comunidad,25193
2010,01500,010003,2269,921600,Otros gastos diversos,5400
2010,01500,010003,2273,921600,Servicios informáticos,60000
2010,01500,010003,2279,921600,Trabajos de traducción realizados por terceros,140000
2010,01500,010003,2400,921600,Impresión del Boletín Oficial de Navarra,15000
2010,01500,010003,6050,921600,Mobiliario y equipo de oficina,900
2010,01500,010003,6060,921600,Equipos para proceso de información,900
2010,01100,010004,1230,921700,Retribuciones totales fijas de funcionarios,909293
2010,01100,010004,2190,921700,Reparación y mantenimiento de otros bienes muebles,2600
2010,01100,010004,2200,921700,Material de oficina,3600
2010,01100,010004,2202,921700,Adquisición de libros para la biblioteca central,10000
2010,01100,010004,2263,921700,Gastos jurídico-contenciosos,27000
2010,01100,010004,2266,921700,"Reuniones, conferencias y cursillos",900
2010,01100,010004,2269,921700,Otros gastos diversos,1200
2010,01100,010004,2300,921700,Dietas,1000
2010,01100,010004,2301,921700,Locomoción y gastos de viaje,2400
2010,01100,010004,2400,921700,Revista jurídica de Navarra y otras colaboraciones,54000
2010,01100,010004,6050,921700,Mobiliario y equipo de oficina,600
2010,01100,010004,6060,921700,Equipos para procesos de información,600
2010,01200,010005,1230,921B00,Retribuciones totales fijas de funcionarios,362221
2010,01200,010005,2020,921B00,Arrendamiento de edificios y otras construcciones,5888
2010,01200,010005,2061,921B00,Licencias de bases de datos de jurisprudencia y legislación,72000
2010,01200,010005,2061,921B02,Otras licencias,900
2010,01200,010005,2160,921B00,Reparación y mantenimiento de equipos y programas informáticos,32600
2010,01200,010005,2190,921B00,Reparación y mantenimiento de otros bienes muebles,90
2010,01200,010005,2200,921B00,Material de oficina,2600
2010,01200,010005,2202,921B00,"Prensa, revistas, libros y otras publicaciones",500
2010,01200,010005,2264,921B00,Gastos de comunidad,700
2010,01200,010005,2266,921B00,"Reuniones, conferencias y cursillos",500
2010,01200,010005,2269,921B02,Otros gastos diversos,1200
2010,01200,010005,2271,921B00,Servicios de limpieza y aseo,1817
2010,01200,010005,2279,921B00,Otros trabajos realizados por terceros,103550
2010,01200,010005,2280,921B00,"Energía eléctrica, agua y gas",1000
2010,01200,010005,2284,921B00,Material de limpieza y aseo,36
2010,01200,010005,2300,921B00,Dietas,500
2010,01200,010005,2301,921B00,Locomoción y gastos de viaje,1200
2010,01200,010005,4455,921B00,Convenio de colaboración con la UPNA para fomento del derecho navarro,36000
2010,01200,010005,4709,921B00,Convenio de colaboración con la UN para fomento del derecho navarro,18000
2010,01200,010005,6050,921B00,Mobiliario y equipo de oficina,2100
2010,01200,010005,6054,921B00,Material técnico,1000
2010,01200,010005,6060,921B00,Equipos para proceso de información,1600
2010,01200,010005,6092,921B00,Estudios sobre derecho navarro,1200
2010,04000,020000,1000,921400,Retribuciones de altos cargos,70918
2010,04000,020000,1230,921400,Retribuciones totales fijas de funcionarios,2084198
2010,04000,020000,1600,921400,Seguridad social,978847
2010,04000,020000,1702,921400,Horas extraordinarias,7316
