#Izena,Deskribapena
Sailkapen ekonomikoa,"Aurrekontu baten sailkapen ekonomikoari esker, gastuak eta diru-sarrerak bereizi ditzakegu, beren izaeraren arabera: Soldata bat da edo argiaren ordainagiri bat da? Tasa bat da edo Europar Batasunaren diru-laguntza bat da? Sailkapen hau lau mailako hierarkia bat da (kapituluak, artikuluak, kontzeptuak eta azpikontzeptuak): gastuen I. Kapitulua «Langileen Gastuak» kategoriari dagokio, eta horren azpiatal dira, besteak beste, «Goi-kargudunak» (10. artikulua) edo «Behin-behineko langileak» (11. artikulua) kategoriak. Bestalde, II. Kapituluan «Ondasun eta zerbitzuetako ohiko gastuak» jaso dira, eta bertan aurki daitezke «Errentamenduak» (20. artikulua) edo «Argitalpenak» (24. artikulua) egiteko erabili diren gastuak. Diru-sarreren atalean, I. Kapitulua «Zuzeneko zergak» kategoriari dagokio."
Sailkapen funtzionala,"Aurrekontu baten sailkapen funtzionalak gastu zehatz baten helburua zein den adierazten digu, hau da, «Justizia» eta «Osasuna» sailetako gastuak bereizten ditu. Sailkapen hori lau mailako hierarkia bat da (funtzio-taldea, funtzioa, programa eta azpiprograma), baina bi garrantzitsuenak funtzioak («Politika» ere deituak) eta programak dira. Hogei politika baino gehiago daude (goi-mailako helburuak, hala nola , «Justizia», «Osasuna» edo «Hezkuntza»). Programak, aldiz, hirurogeita hamar baino gehiago dira eta, esaterako, «Ospitaleak eta Osasun-zentroak», «Kotizazio gabeko pentsioak» edo «Landa-garapena» arloez arduratzen dira, politikak zehaztuz."
Sailkapen organikoa,"Aurrekontuaren sailkapen organikoak diru-sarrera edo gastu bakoitzaren ardura zer organok duen esaten digu. Lehen mailan dena delako saila izango genuke (Hezkuntza, Osasuna...) eta sail bakoitzaren barruan garapen organikoa zehaztuko litzateke, sailari esleitutako organismo autonomoak ere osagarri bezala hartuz."
Sozietateen gaineko zerga,"Sozietateen zerga erakundeei (enpresei, erakundeei edo inbertsio-funtsei) ezartzen zaien zuzeneko zerga bat da. Aurreko urte fiskaleko irabaziei aplikatzen zaie."
Zerga Bereziak,"Produktu edo kontsumo espezifikoei (esate baterako, gasolina edo tabakoa) ezartzen zaizkien zeharkako zergak dira."
Zuzeneko zergak,"Zuzeneko zergek pertsona baten diru-sarrerak edo ondasuna zergapetzen ditu. Horren adibide dira Errentaren gaineko zerga (PFEZ), oinordetzen zerga, ondarearen zerga edo kontribuzioa."
Zeharkako zergak,"Zeharkako zergak kontsumoari aplikatzen zaizkio, bai orokorrean (BEZ) edo tabakoa, alkohola eta antzerako produktu espezifikoen kasuan."
PFEZ,"PFEZ (pertsona fisikoen errentaren gaineko zerga) zerga pertsonal bat da. Horren bidez, bizilekua Espainian duten pertsona fisikoen errentaren (norbanakoena, ez enpresena) gaineko zerga bat kobratzen da. Zerga progresiboa da: geroz eta gehiago irabazi, orduan eta handiagoa da ordaindu beharreko ehunekoa."
BEZ,"Balio erantsiaren zerga (BEZ) kontsumoaren gaineko zerga bat da (zeharkako zerga bat), operazio komertzial eta profesional gehienei ezartzen zaiena. Azken kontsumitzaileak baino ez du ordaintzen zerga hori, eta eragin neutroa dauka enpresa eta profesionalentzat. Produktu edo zerbitzuaren nolakotasunaren arabera, hiru tasa desberdin aplikatzen dira: orokorra (% 21), murriztua (% 10) eta supermurriztua (% 4)."
Likidazioa,"Aurrekontu baten likidazioa egiteko, urtean zehar eta gerora ere aurrekontu-sail bakoitzean izandako diru-sarrerak eta gastuak egiaztatu behar dira, aurrekontuan jasotakoekin aldeztuta. Diru-sarreren kasuan aurrekontuaren exekuzioa kobrantza-eskubideen arabera neurtzen da, eta gastuak ordainketa-betebeharren arabera. Alde txikiak izaten dira magnitude horien eta ekitaldi bakoitzeko diru-fluxuen artean."
Aurrekontua,"Ekitaldi ekonomiko bakoitzean (hau da, urte natural bakoitzean) modu ordenatu eta sistematikoan jasoko dira aurreikuspenen araberako urte horretako diru-sarrerak eta gastuak, eta bi aurreikuspen horiek berdinak izan beharko dute. Nafarroako Parlamentuak onartzen du urteroko aurrekontua, Foru Lege baten bidez.<br/>Aurrekontua sailetan antolatzen da, eta horiek hiru irizpideren arabera sailkatzen dira: <ul><li>Diru-sarrera eskuratu edo gastua egin duenaren arabera (sailkapen organikoa)</li><li>Diru-sarrerak edo gastuak zeren ondorio diren arabera (sailkapen ekonomikoa)</li><li>Gastuaren helburuen arabera (sailkapen funtzionala, gastuen aurrekontuen kasuan baino ez)</li></ul>Diru-sarreren aurrekontuak lortuko diren diru-sarreren aurreikuspena dakarren bezala, gastuen aurrekontuan egin daitezkeen gastuen gehieneko zenbatekoa jasoko da."
Aurrekontu kontsolidatua,"Ekitaldi ekonomikoan zehar, diru-sarreren eta gastuen aurreikuspenek aldaketak izan ditzakete, Ogasun Publikoaren Foru Legeak ezarritako mugen barruan. Aurrekontu-sailen artean kreditu-transferentziak egin daitezke, edo gastu jakin batzuen aurreikuspena handitu, diru-sarrerak uste baino handiagoak badira. Halaber, Parlamentuak Foru Lege bat onar dezake hasierako aurrekontuan edozein aldaketa egiteko. Urteak aurrera egin ahala gauzatzen diren aldaketa horien ondorioa da aurrekontu kontsolidatua edo behin betikoa"
Hasierako aurrekontua,"Hasierako aurrekontuak adierazten du aurrekontuaren egoera, ekitaldi horretarako Parlamentuak onartu duen Aurrekontuen Foru Legean agertzen den bezalaxe."
