#año,area,politica,grupo,programa,EU
2014,1,,,,Oinarrizko zerbitzu publikoak
2014,1,1,,,Justizia
2014,1,3,,,Herritarren segurtasuna eta espetxeak
2014,1,4,,,Kanpo-politika
2014,1,1,1,,Justizia-administrazio orokorra
2014,1,1,2,,Justizia-administrazioa
2014,1,1,4,,Adingabearen babes juridikoa
2014,1,3,1,,Segurtasuneko eta babes zibileko administrazio orokorra
2014,1,3,2,,Segurtasuna eta ordena publikoa
2014,1,3,3,,Espetxeen alorra
2014,1,3,4,,Babes zibila
2014,1,3,5,,Datu-babesa
2014,1,4,3,,Garapenerako lankidetza
2014,1,4,4,,"Kultura-lankidetza, -sustapena eta -hedapena atzerrian"
2014,1,4,5,,Europar Batasunarekiko harremanak
2014,1,4,6,,Kanpo-harremanak
2014,1,1,1,2,Justiziako zuzendaritza eta zerbitzu orokorrak
2014,1,1,1,5,Justiziako langileen prestakuntza
2014,1,1,2,1,Organo judizialak
2014,1,1,4,1,Adingabearen babes juridikoa
2014,1,3,1,1,Segurtasun eta babes zibileko zuzendaritza eta zerbitzu orokorrak
2014,1,3,1,2,Foruzaingoaren prestakuntza
2014,1,3,2,1,Herritarren segurtasuna
2014,1,3,2,2,Bide-segurtasuna
2014,1,3,2,4,Beste alor batzuetako polizia-jarduketak
2014,1,3,3,1,Espetxeak
2014,1,3,3,2,"Presoentzako lana, prestakuntza eta laguntza"
2014,1,3,4,1,Babes zibila
2014,1,3,4,2,Suteen prebenitu eta itzaltzeko eta salbamenduko zerbitzuak
2014,1,3,5,1,Datu pertsonalen babesa
2014,1,4,3,1,Garapenerako lankidetza
2014,1,4,4,1,"Kultura-lankidetza, -sustapena eta -hedapena atzerrian"
2014,1,4,5,1,Europar Batasunarekiko harremanak
2014,1,4,6,1,Kanpo-harremanak
2014,2,,,,Gizarte-babesaren eta sustapenaren jarduketak
2014,2,1,,,Pentsioak
2014,2,2,,,Beste prestazio ekonomiko batzuk
2014,2,3,,,Gizarte-zerbitzuak eta gizarte-sustapena
2014,2,4,,,Enpleguaren sustapena
2014,2,5,,,Langabezia
2014,2,6,,,Etxebizitza eskuratzea eta eraikuntzaren sustapena
2014,2,1,1,,Kotizaziopeko pentsioa
2014,2,1,2,,Ordaindutakoaren araberakoak ez diren pentsioak
2014,2,2,2,,Mutualismo administratiboaren prestazio ekonomikoak
2014,2,2,3,,Jarduera uzteagatiko prestazio ekonomikoak
2014,2,2,4,,Beste prestazio ekonomiko batzuk
2014,2,3,1,,Gizarte-ekintza
2014,2,3,2,,Gizarte-sustapena
2014,2,3,3,,Gizarte-babesaren administrazio orokorra
2014,2,4,1,,Enplegua eta laneratzea sustatzea
2014,2,4,2,,Arautu gabeko lanbide-prestakuntza
2014,2,5,1,,Langabeentzako laguntza
2014,2,6,1,,Etxebizitza eskuratzea eta eraikuntzaren sustapena
2014,2,1,1,1,Kotizaziopeko pentsioa
2014,2,1,1,2,Klase pasiboen pentsioak
2014,2,1,1,3,Klase pasiboen beste pentsio eta prestazio batzuk
2014,2,1,2,1,Ekarpenezkoak ez diren pentsioak eta laguntza-prestazioak
2014,2,2,2,1,Montepioak eta mutualitateak
2014,2,2,3,1,Jarduera uzteagatiko prestazio ekonomikoak
2014,2,2,4,1,Beste prestazio ekonomiko batzuk
2014,2,3,1,0,Gizarte-babesaren eta sustapenaren programazio orokorra
2014,2,3,1,2,Atzerrian dauden herrikideen aldeko ekintzak
2014,2,3,1,3,Desgaituentzako gizarte-zerbitzuak
2014,2,3,1,4,Adinekoentzako gizarte-zerbitzuak
2014,2,3,1,5,Familientzako babesa
2014,2,3,1,6,Bergizarteratzea
2014,2,3,1,7,Haurrentzako arreta
2014,2,3,1,8,Langileriaren aldeko gizarte-ekintza
2014,2,3,1,9,Etorkinak gizarteratzea
2014,2,3,1,A,Gizarte-ekintza garatzeko toki-erakundeentzako laguntzak
2014,2,3,1,B,Autonomia pertsonala eta mendetasunari arreta ematea
2014,2,3,2,1,Gazteen sustapena eta gazteentzako zerbitzuak
2014,2,3,2,2,Emakumeen eta gizonen arteko aukera-berdintasuna
2014,2,3,2,3,Genero-indarkeria osotasunean prebenitzeko jarduketak
2014,2,3,2,4,Gizarte-sustapeneko zuzendaritza eta zerbitzu orokorrak
2014,2,3,3,1,Gizarte-babeseko zuzendaritza eta zerbitzu orokorrak
2014,2,4,1,1,Laneratzea eta enplegu-egonkortasuna sustatzea
2014,2,4,1,2,Gizarte-ekonomia eta enpresen gizarte-erantzukizuna garatzea
2014,2,4,1,3,Lan-merkatuko jarduketak
2014,2,4,2,1,Lanerako lanbide-prestakuntza
2014,2,4,2,2,"Eskola-lantegiak, ofizio-etxeak eta enplegu-tailerrak"
2014,2,5,1,1,Langabeentzako prestazioak
2014,2,6,1,1,Etxebizitzako zuzendaritza eta zerbitzu orokorrak
2014,2,6,1,2,Etxebizitzen sustapena eta administrazioa
2014,2,6,1,3,Eraikuntza antolatzea eta sustatzea
2014,2,6,1,4,"Etxebizitzak birgaitzeko, eraikitzeko eta lortzeko laguntzak"
2014,2,6,1,5,Ondare higiezinaren mantentze- eta hobekuntza-lanak
2014,2,6,1,6,Hiri-azpiegituren mantentze- eta hobekuntza-lanak udal-esparruan
2014,2,6,1,7,Hirigintza eta lurzoru-politika
2014,3,,,,Lehentasunezko ondasun publikoen ekoizpena
2014,3,1,,,Osasuna
2014,3,2,,,Hezkuntza
2014,3,3,,,Kultura
2014,3,1,1,,Osasun-administrazio orokorra
2014,3,1,2,,"Ospitaleak, zerbitzu asistentzialak eta osasun-zentroak"
2014,3,1,3,,Osasunari buruzko jarduera publikoak
2014,3,2,1,,Hezkuntza-administrazio orokorra
2014,3,2,2,,Irakaskuntza
2014,3,2,3,,Hezkuntza-sustapena
2014,3,2,4,,Irakaskuntzako zerbitzu osagarriak
2014,3,2,5,,Azpiegitura
2014,3,3,1,,Kultura-administrazio orokorra
2014,3,3,2,,Liburutegiak eta agiritegiak
2014,3,3,3,,Museoak eta arte plastikoak
2014,3,3,4,,Kultura-sustapena
2014,3,3,5,,Arte eszenikoak
2014,3,3,6,,Kirolak eta gorputz-hezkuntza
2014,3,3,7,,Arkeologia eta ondare historiko-artistikoaren babesa
2014,3,1,1,1,Osasuneko eta gizarte-babeseko zuzendaritza eta zerbitzu orokorrak
2014,3,1,1,2,Osasun-prestakuntza
2014,3,1,2,1,Mutualismo Administratiboaren osasun-laguntza
2014,3,1,2,2,Lehen mailako osasun-arreta
2014,3,1,2,3,Osasun-arreta espezializatua
2014,3,1,2,4,Arreta psikiatriko eta psikikoa
2014,3,1,2,6,Osasun-arreta beste osasun-erakunde batzuetan
2014,3,1,2,7,Osasun-zentroetako zerbitzu osagarriak
2014,3,1,2,8,Osasun-zentroetako azpiegitura eta ekipamendua
2014,3,1,2,9,Zerbitzu osagarriak
2014,3,1,3,1,Medikamentuen eta osasun-produktuen erabilera arrazionala
2014,3,1,3,2,Osasun publikoa eta kanpoko osasungintza
2014,3,1,3,3,Elikagaien segurtasuna eta nutrizioa
2014,3,1,3,4,"Terapia aurreratuak, medikuntza birsortzailea eta transplanteak"
2014,3,1,3,9,Osasuna babesteko bestelako jarduera publikoak
2014,3,2,1,1,Hezkuntzako zuzendaritza eta zerbitzu orokorrak
2014,3,2,1,2,Hezkuntza-alorreko irakasleen etengabeko prestakuntza
2014,3,2,2,0,Irakaskuntzako zuzendaritza eta zerbitzu orokorrak
2014,3,2,2,1,Haur Hezkuntza
2014,3,2,2,2,Bigarren hezkuntza
2014,3,2,2,3,Unibertsitate-irakaskuntzak
2014,3,2,2,4,Hezkuntza berezia
2014,3,2,2,5,Arte-irakaskuntzak
2014,3,2,2,7,Osabidezko hezkuntza eta helduen hezkuntza
2014,3,2,2,8,Unibertsitatekoa ez den etengabeko eta urruneko hezkuntza
2014,3,2,2,9,"Beste irakaskuntza batzuk (hizkuntzak, bereziak eta bestelakoak"
2014,3,2,2,A,Hezkuntzari aplikatutako teknologia berriak
2014,3,2,2,C,Batxilergoa
2014,3,2,2,D,Lehen Hezkuntza
2014,3,2,2,E,Lanbide Heziketa
2014,3,2,2,F,Hezkuntza atzerrian
2014,3,2,2,G,Kirola eskola-adinean eta unibertsitatean
2014,3,2,3,1,Ikasleentzako bekak eta laguntzak
2014,3,2,4,1,Irakaskuntzako zerbitzu osagarriak
2014,3,2,4,2,Beste eskola-jarduera batzuetarako laguntza
2014,3,2,5,1,"Eraikuntza, ekipamendua eta material didaktikoak"
2014,3,3,1,1,Kulturako zuzendaritza eta zerbitzu orokorrak
2014,3,3,2,1,Agiritegiak
2014,3,3,2,2,Liburutegiak
2014,3,3,3,1,Museoak
2014,3,3,3,2,Erakusketak
2014,3,3,4,1,Kultura-sustapena eta -lankidetza
2014,3,3,4,2,Liburuak eta kultura-argitalpenak sustatzea
2014,3,3,4,3,Kultura-industriak sustatzea
2014,3,3,5,1,Musika eta dantza
2014,3,3,5,2,"Antzerkia, zinematografia eta beste arte eszeniko batzuk"
2014,3,3,6,1,Kirol-jarduerak sustatzea eta babestea
2014,3,3,7,1,
2014,3,3,7,2,Kultura-ondasunak kontserbatzea eta zaharberritzea
2014,3,3,7,4,Arkeologia
2014,4,,,,Jarduketa ekonomikoak
2014,4,1,,,"Nekazaritza, abeltzaintza eta elikagaigintza"
2014,4,2,,,Industria eta energia
2014,4,3,,,"Merkataritza, turismoa eta ETEak"
2014,4,4,,,Garraiorako diru-laguntzak
2014,4,5,,,Azpiegiturak
2014,4,6,,,"Ikerketa, garapena eta berrikuntza"
2014,4,9,,,Izaera ekonomikoko beste jarduketa batzuk
2014,4,1,1,,"Nekazaritza, abeltzaintza eta elikagaigintzako administrazio orokorra"
2014,4,1,2,,Nekazaritzako azpiegiturak eta ekoizpen-sistemak hobetzea
2014,4,1,3,,Nekazaritzako elikagaien industriaren lehiakortasuna eta elikagaien kalitatea
2014,4,1,4,,Landa-garapena
2014,4,1,6,,Nekazaritzako ekoizpenetan arriskuak prebenitzea
2014,4,2,1,,Industriari buruzko jarduketa administratiboak
2014,4,2,2,,Industria-birmoldaketa eta -garapena
2014,4,2,5,,Energiaren antolamendua eta eraginkortasuna
2014,4,3,1,,Merkataritza
2014,4,3,2,,Turismoa antolatzea eta sustatzea
2014,4,3,3,,Enpresa-garapena
2014,4,4,1,,Garraiorako diru-laguntzak
2014,4,5,1,,Azpiegituren administrazio orokorra
2014,4,5,2,,Ur-baliabideak
2014,4,5,3,,Lurreko garraiorako azpiegiturak
2014,4,5,5,,Aireko garraiorako azpiegiturak
2014,4,5,6,,Ingurumeneko jarduketak
2014,4,5,8,,"Industria, merkataritza eta turismoko azpiegitura"
2014,4,5,9,,Elektrifikazioa eta argiztatzea
2014,4,5,A,,Landa-inguruneko komunikabideak
2014,4,5,B,,Komunitatearen ongizaterako beste zerbitzu batzuk
2014,4,6,2,,Zerbitzu publiko orokorrekin lotutako ikerketa eta azterlanak
2014,4,6,3,,Oinarrizko ikerketa
2014,4,6,5,,Osasunarekin lotutako ikerketa eta garapena
2014,4,6,6,,Hezkuntzarekin lotutako ikerketa eta garapena
2014,4,6,7,,Beste sektore batzuetako ikerketa eta garapena
2014,4,6,8,,Azterlan teknikoak
2014,4,6,9,,Beste berrikuntza teknologiko batzuk
2014,4,6,9,,Beste berrikuntza teknologiko batzuk
2014,4,9,1,,Komunikazioak
2014,4,9,2,,Lehiaren defentsa
2014,4,9,3,,Finantza-sektorearen antolamendua
2014,4,9,4,,Lan-harremanak
2014,4,9,5,,"Kartografia, meteorologia eta metrologia"
2014,4,9,6,,Jokoaren antolamendua
2014,4,1,1,1,"Nekazaritza, abeltzaintza eta elikagaigintzako zuzendaritza eta zerbitzu orokorrak"
