#año,area,politica,grupo,programa,descripcion
2012,1,,,,Servicios públicos básicos
2012,2,,,,Actuaciones de protección y promoción social
2012,3,,,,Producción de bienes públicos de carácter preferente
2012,4,,,,Actuaciones de carácter económico
2012,9,,,,Actuaciones de carácter general
2012,1,1,,,Justicia
2012,1,3,,,Seguridad ciudadana e instituciones penitenciarias
2012,1,4,,,Política exterior
2012,2,1,,,Pensiones
2012,2,2,,,Otras prestaciones económicas
2012,2,3,,,Servicios sociales y promoción social
2012,2,4,,,Fomento del empleo
2012,2,6,,,Acceso a la vivienda y fomento de la edificación
2012,3,1,,,Sanidad
2012,3,2,,,Educación
2012,3,3,,,Cultura
2012,4,1,,,"Agricultura, ganadería y alimentación"
2012,4,2,,,Industria y energía
2012,4,3,,,"Comercio, Turismo y Pymes"
2012,4,4,,,Subvenciones al transporte
2012,4,5,,,Infraestructuras
2012,4,6,,,"Investigación, desarrollo e innovación"
2012,4,9,,,Otras actuaciones de carácter económico
2012,9,1,,,Alta dirección
2012,9,2,,,Servicios de carácter general
2012,9,3,,,Administración financiera y tributaria
2012,9,4,,,Transferencias a otras administraciones públicas
2012,9,5,,,Deuda pública
2012,1,1,1.0,,Administración general de justicia
2012,1,1,2.0,,Administración de justicia
2012,1,1,4.0,,Protección jurídica del menor
2012,1,3,1.0,,Administración general de seguridad y protección civil
2012,1,3,2.0,,Seguridad y orden público
2012,1,3,3.0,,Instituciones penitenciarias
2012,1,3,4.0,,Protección civil
2012,1,4,3.0,,Cooperación para el desarrollo
2012,1,4,4.0,,"Cooperación, promoción y difusión cultural en el exterior"
2012,1,4,5.0,,Relaciones con la Unión Europea
2012,1,4,6.0,,Relaciones con el exterior
2012,2,1,1.0,,Pensiones contributivas
2012,2,1,2.0,,Pensiones no contributivas
2012,2,2,4.0,,Otras prestaciones económicas
2012,2,3,1.0,,Acción social
2012,2,3,2.0,,Promoción social
2012,2,3,3.0,,Administración general de protección social
2012,2,4,1.0,,Promoción del empleo y de la inserción laboral
2012,2,4,2.0,,Formación profesional no reglada
2012,2,6,1.0,,Acceso a la vivienda y fomento de la edificación
2012,3,1,1.0,,Administración general de sanidad
2012,3,1,2.0,,"Hospitales, servicios asistenciales y centros de salud"
2012,3,1,3.0,,Acciones públicas relativas a la salud
2012,3,2,1.0,,Administración general de educación
2012,3,2,2.0,,Enseñanza
2012,3,2,3.0,,Promoción educativa
2012,3,2,4.0,,Servicios complementarios de la enseñanza
2012,3,2,5.0,,Infraestructura
2012,3,3,1.0,,Administración general de cultura
2012,3,3,2.0,,Bibliotecas y archivos
2012,3,3,3.0,,Museos y artes plásticas
2012,3,3,4.0,,Promoción cultural
2012,3,3,5.0,,Artes escénicas
2012,3,3,6.0,,Deportes y educación física
2012,3,3,7.0,,Arqueología y protección del patrimonio histórico-artístico
2012,4,1,1.0,,"Administración general de agricultura, ganadería y alimentación"
2012,4,1,2.0,,Mejoras de las estructuras agrarias y de los sistemas productivos
2012,4,1,3.0,,Competitividad de la industria agroalimentaria y calidad alimentaria
2012,4,1,4.0,,Desarrollo rural
2012,4,2,1.0,,Actuaciones administrativas sobre la industria
2012,4,2,2.0,,Reconversión y desarrollo industrial
2012,4,2,5.0,,Ordenación y eficiencia energética
2012,4,3,1.0,,Comercio
2012,4,3,2.0,,Ordenación y promoción turística
2012,4,4,1.0,,Subvenciones al transporte
2012,4,5,1.0,,Administración general de infraestructuras
2012,4,5,2.0,,Recursos hidráulicos
2012,4,5,3.0,,Infraestructuras del transporte terrestre
2012,4,5,6.0,,Actuaciones medioambientales
2012,4,5,8.0,,"Infraestructura industrial, comercial y turística"
2012,4,5,9.0,,Electrificación y alumbrado
2012,4,5,A,,Vías de comunicación en el medio rural
2012,4,5,B,,Otros servicios del bienestar comunitario
2012,4,6,5.0,,Investigación y desarrollo relacionados con la salud
2012,4,6,7.0,,Investigación y desarrollo en otros sectores
2012,4,6,8.0,,Estudios técnicos
2012,4,6,9.0,,Otras Innovaciones Tecnológicas
2012,4,9,1.0,,Comunicaciones
2012,4,9,2.0,,Defensa de la competencia
2012,4,9,3.0,,Ordenación del sector financiero
2012,4,9,4.0,,Relaciones laborales
2012,4,9,5.0,,"Cartografía, meteorología y metrología"
2012,9,1,1.0,,Alta dirección de la Comunidad Foral
2012,9,1,2.0,,Alta dirección del Gobierno
2012,9,2,1.0,,Administración general
2012,9,2,2.0,,Coordinación y organización territorial del Gobierno
2012,9,2,3.0,,Administración general de economía y hacienda
2012,9,3,1.0,,Política económica y fiscal
2012,9,3,2.0,,Gestión del sistema tributario
2012,9,4,1.0,,Convenios con el Estado
2012,9,4,2.0,,Transferencias a entidades locales
2012,9,5,1.0,,Deuda pública
2012,1,1,1.0,2.0,Dirección y servicios generales de justicia
2012,1,1,2.0,1.0,Órganos judiciales
2012,1,1,4.0,1.0,Protección jurídica del menor
2012,1,3,1.0,1.0,Dirección y servicios generales de seguridad y protección civil
2012,1,3,2.0,1.0,Seguridad ciudadana
2012,1,3,2.0,2.0,Seguridad vial
2012,1,3,3.0,1.0,Centros e instituciones penitenciarias
2012,1,3,4.0,1.0,Protección civil
2012,1,3,4.0,2.0,Prevención y extinción de incendios y salvamento
2012,1,4,3.0,1.0,Cooperación para el desarrollo
2012,1,4,4.0,1.0,"Cooperación, promoción y difusión cultural en el exterior"
2012,1,4,5.0,1.0,Relaciones con la Unión Europea
2012,1,4,6.0,1.0,Relaciones con el exterior
2012,2,1,1.0,1.0,Pensiones contributivas
2012,2,1,2.0,1.0,Pensiones no contributivas y prestaciones asistenciales
2012,2,2,4.0,1.0,Otras prestaciones económicas
2012,2,3,1.0,,Programación general de protección y promoción social
2012,2,3,1.0,3.0,Servicios sociales a personas con discapacidad
2012,2,3,1.0,4.0,Servicios sociales a personas mayores
2012,2,3,1.0,5.0,Protección a la familia
2012,2,3,1.0,6.0,Reinserción social
2012,2,3,1.0,7.0,Atención a la infancia
2012,2,3,1.0,9.0,Integración de los inmigrantes
