2012,P0000,P01001,4450,911200,Transferencias corrientes del Gobierno de Navarra,12050532
2012,P0000,P01001,7450,911200,Transferencias de capital del Gobierno de Navarra,634849
2012,P1000,P01002,4451,911300,Transferencias corrientes del Gobierno de Navarra,2582853
2012,P1000,P01002,7451,911300,Transferencias de capital del Gobierno de Navarra,63000
2012,P2000,P01003,4452,911200,Transferencias corrientes del Gobierno de Navarra,781150
2012,P2000,P01003,7452,911200,Transferencias de capital del Gobierno de Navarra,39526
2012,00001,010001,1000,912100,Retribuciones de altos cargos,64544
2012,00001,010001,1100,912100,Retribuciones del personal eventual,137118
2012,00001,010001,2200,912100,Material de oficina,1600
2012,00001,010001,2202,912100,"Prensa, revistas, libros y otras publicaciones",1400
2012,00001,010001,2261,912100,Gastos diversos del Sr. Consejero y Gabinete,5700
2012,00001,010001,2301,912100,Gastos de viaje del Sr. Consejero y Gabinete,5700
2012,00100,010001,1200,921100,Retribuciones del personal fijo,583836
2012,00100,010001,1210,921100,Retribuciones del personal contratado para cubrir plazas reservadas,19517
2012,00100,010001,1211,921100,Retribuciones del personal contratado para cubrir vacantes,40704
2012,00100,010001,2190,921100,Reparación y mantenimiento de otros bienes muebles,3600
2012,00100,010001,2200,921100,Material de oficina,21000
2012,00100,010001,2202,921100,"Prensa, revistas, libros y otras publicaciones",2450
2012,00100,010001,2266,921100,"Reuniones, conferencias y cursillos",2250
2012,00100,010001,2269,921100,Otros gastos diversos,13700
2012,00100,010001,2273,921100,Servicios informáticos,8544
2012,00100,010001,2276,921100,Estudios y trabajos técnicos,50000
2012,00100,010001,2300,921100,Dietas,1700
2012,00100,010001,2301,921100,Locomoción y gastos de viaje,6450
2012,00100,010001,4809,921100,Indemnizaciones por responsabilidad patrimonial,100
2012,00100,010001,6020,921100,Obras en edificios institucionales,20000
2012,00100,010001,6031,921100,Instalaciones,100
2012,00100,010001,6050,921100,Mobiliario y equipo de oficina,10000
2012,00100,010001,6060,921100,Equipos para procesos de información,10400
2012,01000,010001,1000,921100,Retribuciones de altos cargos,55303
2012,01000,010001,1200,921100,Retribuciones del personal fijo,23325
2012,01000,010001,1210,921100,Retribuciones del personal contratado para cubrir plazas reservadas,1
2012,01000,010001,1211,921100,Retribuciones del personal contratado para cubrir vacantes,1
2012,01000,010001,2160,921100,Reparación y mantenimiento de equipos y programas,2000
2012,01000,010001,2261,921100,Atenciones protocolarias,800
2012,01000,010001,2273,921100,Servicios informáticos,36521
2012,01000,010001,2273,921102,Asistencia técnica 2º nivel,13975
2012,01000,010001,2275,921100,Procesos electorales,100
2012,01000,010001,4809,921100,Aplicación Ley Memoria Histórica,80000
2012,01000,010001,6090,469100,Sistemas de información,40000
2012,01300,010002,1200,912300,Retribuciones del personal fijo,281823
2012,01300,010002,1210,912300,Retribuciones del personal contratado para cubrir plazas reservadas,37192
2012,01300,010002,1211,912300,Retribuciones del personal contratado para cubrir vacantes,39033
2012,01300,010002,2120,912300,"Reparación, mantenimiento y conservación de edificios",80000
2012,01300,010002,2221,912300,Comunicaciones postales y mensajería,800000
2012,01300,010002,2230,912300,Gastos de transportes,1000
2012,01300,010002,2269,912300,Registro y defensa de patentes y marcas,2000
2012,01300,010002,2271,912300,Limpieza de locales de Palacio de Navarra,371915
2012,01300,010002,2271,912302,Servicios de limpieza y aseo,4000
2012,01300,010002,2284,912300,Material de limpieza y aseo,6000
2012,01300,010002,2285,912300,Vestuario,750
2012,01300,010002,2400,912300,Encuadernaciones y microfilmaciones de actas y otros,2000
2012,01500,010003,1200,921600,Retribuciones del personal fijo,1034194
2012,01500,010003,1210,921600,Retribuciones del personal contratado para cubrir plazas reservadas,35870
2012,01500,010003,1211,921600,Retribuciones del personal contratado para cubrir vacantes,35870
2012,01500,010003,2264,921600,Gastos de comunidad,90000
2012,01500,010003,2273,921600,Servicios informáticos,44100
2012,01500,010003,2279,921600,Trabajos de traducción realizados por terceros,50000
2012,01500,010003,2400,921600,Impresión del Boletín Oficial de Navarra,15000
2012,01100,010004,1200,921700,Retribuciones del personal fijo,643055
2012,01100,010004,1210,921700,Retribuciones del personal contratado para cubrir plazas reservadas,19517
2012,01100,010004,1211,921700,Retribuciones del personal contratado para cubrir vacantes,1
2012,01100,010004,2202,921700,Adquisición de libros para la biblioteca central,8000
2012,01100,010004,2263,921700,Gastos jurídico-contenciosos,27000
2012,01100,010004,2400,921700,Revista jurídica de Navarra y otras colaboraciones,20000
2012,01200,010005,1200,921B00,Retribuciones del personal fijo,312017
2012,01200,010005,1210,921B00,Retribuciones del personal contratado para cubrir plazas reservadas,6505
2012,01200,010005,1211,921B00,Retribuciones del personal contratado para cubrir vacantes,1
2012,01200,010005,2020,921B00,Arrendamiento de edificios y otras construcciones,6695
2012,01200,010005,2061,921B00,Licencias de bases de datos de jurisprudencia y legislación,50000
2012,01200,010005,2061,921B02,Otras licencias,900
2012,01200,010005,2160,921B00,Reparación y mantenimiento de equipos y programas informáticos,27700
2012,01200,010005,2264,921B00,Gastos de comunidad,750
2012,01200,010005,2271,921B00,Servicios de limpieza y aseo,6305
2012,01200,010005,2279,921B00,Otros trabajos realizados por terceros,15000
2012,01200,010005,2280,921B00,"Energía eléctrica, agua y gas",1050
2012,01200,010005,4455,921B00,Convenio de colaboración con la UPNA para fomento del derecho navarro,15000
2012,01200,010005,4709,921B00,Convenio de colaboración con la UN para fomento del derecho navarro,12000
2012,01200,010005,6092,921B00,Estudios sobre derecho navarro,1000
2012,01600,010007,1200,921A00,Retribuciones del personal fijo,659966
2012,01600,010007,1210,921A00,Retribuciones del personal contratado para cubrir plazas reservadas,26021
2012,01600,010007,1211,921A00,Retribuciones del personal contratado para cubrir vacantes,78065
2012,01600,010007,2020,921A00,Arrendamientos de edificios y otras construcciones,7000
2012,01600,010007,2120,921A00,"Reparación, mantenimiento y conservación de edificios",2000
2012,01600,010007,2190,921A00,"Reparación, mantenimiento y conservación bienes muebles",2200
2012,01600,010007,2200,921A00,Material de oficina,20000
2012,01600,010007,2202,921A00,"Prensa, revistas, libros y otras publicaciones",1000
2012,01600,010007,2230,921A00,Traslado de documentos y otros,3000
2012,01600,010007,2264,921A00,Gastos de comunidad,8000
2012,01600,010007,2266,921A00,"Reuniones, conferencias y cursillos",900
2012,01600,010007,2269,921A00,Otros gastos diversos,900
2012,01600,010007,2271,921A00,Servicios de limpieza y aseo,23000
2012,01600,010007,2280,921A00,"Energía eléctrica, agua y gas",7000
2012,01600,010007,2300,921A00,Dietas,300
2012,01600,010007,2301,921A00,Locomoción y gastos de viaje,1000
2012,01600,010007,6050,921A00,Mobiliario y equipo de oficina,5000
2012,01600,010007,6060,921A00,Equipos para procesos de información,6000
2012,01600,010007,6090,469100,Sistemas de información,3500
2012,04000,020000,1000,921400,Retribuciones de altos cargos,55303
2012,04000,020000,1200,921400,Retribuciones del personal fijo,2187350
2012,04000,020000,1210,921400,Retribuciones del personal contratado para cubrir plazas reservadas,149939
2012,04000,020000,1211,921400,Retribuciones del personal contratado para cubrir vacantes,154707
2012,04000,020000,1220,921400,Retribuciones del personal contratado temporal,1491864
2012,04000,020000,1250,921400,Retribuciones del personal contratado para sustituciones,1298240
2012,04000,020000,1400,921400,Retribuciones personales,2627309
2012,04000,020000,1600,921400,Seguridad social,3432578
2012,04000,020000,1702,921400,Horas extraordinarias,14300
2012,04000,020000,1703,921400,Remuneración por trabajo en días festivos,41000
2012,04000,020000,1705,921400,Complemento por trabajo en turnos de noche,1000
2012,04000,020000,2020,921400,Arrendamientos de edificios y otras construcciones,115000
2012,04000,020000,2120,921400,"Reparación, mantenimiento y conservación de edificios y otras construcciones",768
2012,04000,020000,2160,921400,Reparación y mantenimiento de equipos y programas informáticos,56673
2012,04000,020000,2190,921400,Reparación y mantenimiento de otros bienes muebles,1543
2012,04000,020000,2200,921400,Material de oficina,18000
2012,04000,020000,2202,921400,"Prensa, revistas, libros y otras publicaciones",6684
2012,04000,020000,2214,921400,Instrumental y pequeño utillaje,115
2012,04000,020000,2215,921400,Fármacos,1200
2012,04000,020000,2216,921400,Material sanitario de consumo,439
2012,04000,020000,2217,921400,Ropería sanitaria,100
2012,04000,020000,2219,921400,Material para equipos de control de presencia,600
2012,04000,020000,2250,921400,Contribuciones y tasas,100
2012,04000,020000,2264,921400,Gastos de comunidad,4300
2012,04000,020000,2266,921400,Actividades de formación,100
2012,04000,020000,2269,921300,Gastos de mantenimiento de locales,641
2012,04000,020000,2269,921400,Gastos diversos,4000
2012,04000,020000,2270,921400,Lavandería,850
2012,04000,020000,2271,921400,Servicios de limpieza y aseo,49020
2012,04000,020000,2273,921400,Servicios informáticos,122334
2012,04000,020000,2279,921400,Otros trabajos realizados por terceros,7360
2012,04000,020000,2280,921400,"Energía eléctrica, agua y gas",20653
2012,04000,020000,2284,921400,Material de limpieza y aseo,1205
2012,04000,020000,2300,921400,Dietas,200
2012,04000,020000,2301,921400,Locomoción y gastos de viaje,1621
2012,04000,020000,4809,921400,Indemnizaciones por responsabilidad patrimonial,100
2012,04000,020000,4819,921300,Subvenciones a organizaciones sindicales,51410
2012,04000,020000,4819,921302,Subvenciones para gastos de funcionamiento,35860
2012,04000,020000,6021,921400,Obras de adecuación y mejora de instalaciones,13710
2012,04000,020000,6031,921400,Instalaciones,95
2012,04000,020000,6050,921400,Mobiliario y equipos de oficina,5000
2012,04000,020000,6057,921400,Equipos médicos,3253
2012,04000,020000,6059,921400,Otro mobiliario y equipo,1000
2012,04000,020000,6060,921400,Equipos para procesos de información,13628
2012,04000,020000,6090,469100,Sistemas de información,29439
2012,04100,020002,1001,921400,"Prestaciones a ex-presidentes, ex-consejeros y otros altos cargos del Gobierno de Navarra",604533
2012,04100,020002,1600,921402,Regularización convenio Seguridad Social,10
2012,04100,020002,1600,921403,Diferencia de cotizaciones en seguridad social,990
2012,04100,020002,1620,224100,Abonos de primas de pólizas de seguros,3500000
2012,04100,020002,1620,921400,Fondo para la aplicación de acuerdos en materia de personal,1000
2012,04100,020002,1800,921400,"Reconocimiento de servicios, nuevos complementos, ayuda familiar, grado, antigüedad, reingresos de excedencias y otros",150000
2012,04100,020002,1810,921400,Retribuciones de personal de ejercicios anteriores,100000
2012,04100,020002,1820,921402,Ejecución de sentencias,1000000
2012,04100,020002,1820,921403,Indemnizaciones por accidentes laborales,5000
2012,04100,020002,2330,921400,Gratificaciones a tribunales de oposición,1000
2012,04100,020002,2339,224100,Gastos de renovación de los carnés de conducir y de los permisos de armas,5000
2012,04100,020002,8318,921400,Anticipos de sueldo para el personal fijo de la Administración de la Comunidad Foral y sus Organismos Autónomos,759000
2012,04300,020002,1610,211100,Pensiones ordinarias de funcionarios,69595945
2012,04300,020002,1612,211100,Pensiones excepcionales,70639
2012,04300,020002,1614,211100,Indemnizaciones por jubilaciones anticipadas,1854
2012,04300,020002,1620,224100,Asistencia sanitaria. Uso especial,9713000
2012,04310,020002,4609,942300,Transferencias a entes locales del Montepío General para su financiación,5080342
2012,04310,020002,4609,942302,"Transferencias a los Ayuntamientos de Pamplona, Tafalla y Tudela",5703657
2012,04310,020002,8206,942300,Gestión del Montepío de funcionarios municipales,19080000
2012,03000,040000,1000,921300,Retribuciones de altos cargos,55303
2012,03000,040000,1200,921300,Retribuciones del personal fijo,145712
2012,03000,040000,1210,921300,Retribuciones del personal contratado para cubrir plazas reservadas,1
2012,03000,040000,1211,921300,Retribuciones del personal contratado para cubrir vacantes,17676
2012,03000,040000,1220,921300,Retribuciones del personal contratado temporal,283479
2012,03000,040000,1250,921300,Retribuciones del personal contratado para sustituciones,2000
2012,03000,040000,1400,921300,Retribuciones personales,344876
2012,03000,040000,1600,921300,Seguridad social,356550
2012,03000,040000,1702,921300,Horas extraordinarias,1802
2012,03000,040000,1705,921300,Complemento por trabajo en turnos de noche,1390
2012,03000,040000,2061,921300,Arrendamiento de programas y licencias,5935
2012,03000,040000,2120,921300,"Reparación, mantenimiento y conservación de edificios y otras construcciones",6000
2012,03000,040000,2160,921300,"Reparación y mantenimiento de equipos, programas informáticos y telecomunicaciones",7000
2012,03000,040000,2190,921300,Reparación y conservación de otros bienes muebles,5973
2012,03000,040000,2200,921300,Material de oficina,3000
2012,03000,040000,2202,921300,"Prensa, revistas, libros y otras publicaciones",1500
2012,03000,040000,2219,921300,Otros suministros especiales,100
2012,03000,040000,2220,921300,"Comunicaciones telefónicas, postales y telegráficas",11570
2012,03000,040000,2230,921300,Gastos de transportes,500
2012,03000,040000,2261,921300,Atenciones protocolarias y representativas,1000
2012,03000,040000,2262,921300,Publicidad y actividades divulgativas,500
2012,03000,040000,2266,921300,"Reuniones, conferencias y cursillos",1000
2012,03000,040000,2271,921300,Servicio de limpieza y aseo,80863
2012,03000,040000,2273,921300,Servicios informáticos,57628
2012,03000,040000,2273,921302,Asistencia técnica 2º nivel,14581
2012,03000,040000,2279,921300,Organización de congresos y cursos,5218
2012,03000,040000,2280,921300,"Energía eléctrica, agua y gas",24900
2012,03000,040000,2284,921300,Material de limpieza y aseo,1300
2012,03000,040000,2289,921300,Otros suministros auxiliares,1300
2012,03000,040000,2300,921300,Dietas,500
2012,03000,040000,2301,921300,Locomoción y gastos de viaje,1900
2012,03000,040000,2330,921300,Indemnizaciones por trabajos realizados,100
2012,03000,040000,2400,921300,Gastos de edición de libros y publicaciones,10000
2012,03000,040000,4809,921300,Ayudas y premios a estudios e investigación,10000
2012,03000,040000,4809,921302,Indemnizaciones por responsabilidad patrimonial,100
2012,03000,040000,4819,921300,Convenio de colaboración con la escuela de práctica jurídica Estanislao Aranzadi,100
2012,03000,040000,6020,921300,Edificios y otras construcciones,8269
2012,03000,040000,6050,921300,Mobiliario y equipos de oficina,2500
2012,03000,040000,6059,921300,Otro mobiliario y equipo,1991
2012,03000,040000,6060,921300,Equipos para procesos de información,4000
2012,03000,040000,6081,921300,Adquisición de fondos editoriales,1000
2012,03000,040000,6090,469100,Sistemas de información,69840
2012,03000,040000,6091,921300,Proyectos técnicos,100
2012,03000,040000,6092,921300,"Estudios, informes y otros",20419
2012,03200,040001,1200,921300,Retribuciones del personal fijo,80644
2012,03200,040001,1210,921300,Retribuciones del personal contratado para cubrir plazas reservadas,1
2012,03200,040001,1211,921300,Retribuciones del personal contratado para cubrir vacantes,1
2012,03200,040001,2276,921300,Estudios y trabajos técnicos,100
2012,03200,040001,2276,921302,Programa de evaluación de la calidad de servicios públicos,24155
2012,03200,040001,2279,921300,Organización de congresos y cursos,6000
2012,03200,040001,2400,921300,Gastos de edición de libros y publicaciones,100
2012,03200,040001,4809,921300,Ayudas y premios a estudios e investigación,100
2012,03200,040001,6092,921300,"Estudios, informes y otros",17000
2012,03100,040002,1200,921300,Retribuciones del personal fijo,209344
2012,03100,040002,1210,921300,Retribuciones del personal contratado para cubrir plazas reservadas,4183
2012,03100,040002,1211,921300,Retribuciones del personal contratado para cubrir vacantes,1
2012,03100,040002,2269,921300,Coparticipación en programas de formación,100
2012,03100,040002,2276,921300,Cursos de formación continua (INAP estatal),100
2012,03100,040002,2279,921300,Organización de cursos,200000
2012,03100,040002,2279,921302,Organización de cursos on-line,28051
2012,03300,040003,1200,921300,Retribuciones del personal fijo,319881
2012,03300,040003,1210,921300,Retribuciones del personal contratado para cubrir plazas reservadas,1
2012,03300,040003,1211,921300,Retribuciones del personal contratado para cubrir vacantes,1
2012,03300,040003,2120,921300,"Reparación, mantenimiento y conservación de edificios y otras construcciones",10000
2012,03300,040003,2160,921300,Reparación y mantenimiento de equipos y programas informáticos,100
2012,03300,040003,2190,921300,Reparación y mantenimiento de otros bienes muebles,12000
2012,03300,040003,2200,921300,Material de oficina,4000
2012,03300,040003,2202,921300,"Prensa, revistas, libros y otras publicaciones",3000
2012,03300,040003,2261,921300,Atenciones protocolarias y representativas,100
2012,03300,040003,2266,921300,"Reuniones, conferencias y cursillos",100
2012,03300,040003,2271,921300,Servicios de limpieza y aseo,61082
2012,03300,040003,2274,921300,Servicios de seguridad,42326
2012,03300,040003,2276,921300,Cursos de formación continua (INAP estatal),100
2012,03300,040003,2276,921302,Estudios y trabajos técnicos,100
2012,03300,040003,2279,921300,Organización de cursos,282744
2012,03300,040003,2280,921300,"Energía eléctrica, agua y gas",19000
2012,03300,040003,2281,921300,"Combustible, lubricantes y calefacción",7000
2012,03300,040003,2284,921300,Material de limpieza y aseo,1500
2012,03300,040003,2289,921300,Otros suministros auxiliares,4000
2012,03300,040003,2300,921300,Dietas,1000
2012,03300,040003,2301,921300,Locomoción y gastos de viaje,100
2012,03300,040003,2301,921302,Locomoción y gastos de viaje de profesores y alumnos,100
2012,03300,040003,2339,921300,Otras indemnizaciones,100
2012,03300,040003,2400,921300,Gastos de edición de libros y publicaciones,100
2012,03300,040003,6020,921300,Edificios y otras construcciones,5145
2012,03300,040003,6050,921300,Mobiliario y equipo de oficina,800
2012,03300,040003,6060,921300,Equipos para procesos de información,3500
2012,03400,040004,1200,921300,Retribuciones del personal fijo,224906
2012,03400,040004,1210,921300,Retribuciones del personal contratado para cubrir plazas reservadas,1
2012,03400,040004,1211,921300,Retribuciones del personal contratado para cubrir vacantes,1
2012,03400,040004,2262,921300,Publicidad y actividades divulgativas,597
